;;;;;;;;;;;;;x;
treaty_of_ouchy_itp_desc;Now that we possess Tripoli, we can take the Turks to the negotiating table and force them to hand over the remainder of Libya in exchange for any other provinces of theirs we hold.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
italia_irredenta_itp_title;Italia Irredenta;Italia Irredenta;Italia Irredenta;;Italia Irredenta;;;;;;;;;x
italia_irredenta_itp_desc;The Italian Irredentist movement strove for the transfer to the Kingdom of Italy of all territories in the immediate vicinity of the Kingdom which were largely or partly seen as populated by ethnic Italians. Not only did this include claims to Austrian lands in Italy proper, but it also meant territorial ambitions further into Dalmatia, and Austria.;Le mouvement irrÈdentiste voulait voir transfÈrÈs ÅEla couronne italienne tous les territoires limitrophes peuplÈs majoritairement ou en partie d'italiens. Cela concerne non seulement les possessions autrichiennes en Italie, mais aussi des territoires en Dalmatie et en Autriche.;Die italienische Irredentistenbewegung strebte danach, alle Gebiete in der unmittelbaren Umgebung des Kˆnigreichs Italien, die tats‰chlich oder vermeintlich grˆﬂtenteils von Italienischst‰mmigen bewohnt wurden, dem Kˆnigreich anzugliedern. Dies beinhaltete nicht nur AnsprÅEhe auf ˆsterreichische L‰ndereien in italienischem Besitz, sondern bedeutete auch territoriale AnsprÅEhe weiter nach Dalmatien und ÷sterreich hinein.;;El movimiento irredentista italiano aspiraba a obtener para Italia todos los territorios vecinos del joven reino que estaban, mayoritaria o parcialmente poblados por personas de etnia italiana. Esto no solo inclu˙} los territorios austriacos en Italia propiamente dicha, sino tambiÈn regiones diversas en Dalmacia y el interior de Austria.;;;;;;;;;x
become_biafra_title;Become Biafra;;;;;;;;;;;;;x
become_biafra_desc;We've unified our people and now we have the perfect opportunity to restate our position to the Europeans.;;;;;;;;;;;;;x
organize_indochina_title;Organize Indochina;;;;;;;;;;;;;x
organize_indochina_desc;Our colonies in Indochina are becoming a true part of the country. We must create the proper structures, so that they stand on par with our other national states.;;;;;;;;;;;;;x
reorganize_indochina_title;Claim Indochina;;;;;;;;;;;;;x,,,,,,,,,,,,,
reorganize_indochina_desc;Now that we have taken possession of this Indochinese colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,
encourage_war_title;Encourage War;;;;;;;;;;;;;x
encourage_war_desc;Support for the current war is weak, with a little effort we could start a propaganda campaign to convince them otherwise.;;;;;;;;;;;;;x
create_baltic_states_GER_title;Form the Baltic Union;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;
create_baltic_states_GER_desc;The former Grand Duchy of Livonia, a union of the northern baltic cultures, would make for a stronger ally than either Latvia or Estonia would alone. Let us create a puppet United Baltic Provinces nation that will serve us now and forever.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;
annexation_of_cambodia_title;Annexation of Cambodia;;;;;;;;;;;;;x
annexation_of_cambodia_desc;Now that the powerful nations of the west have recognized our power and see us as equals, we should annex our Cambodian puppet government.;;;;;;;;;;;;;x
rus_claim_lodermia_title;The Fate of Ruthenia;;;;;;;;;;;;;x
rus_claim_lodermia_desc;The region of Ruthenia has belonged to the Austrians since the first partition of Poland, today we declare that we will rectify this mistake, bringing the Russian peoples there back into the fold.;;;;;;;;;;;;;x
accepting_the_slovaks_title;Embrace the Slovak Minority;;;;;;;;;;;;;x
accepting_the_slovaks_desc;Historically, after the Great War, Hungary wanted to grant special rights and even autonomy for the Slovaks, to make sure they'd choose to keep being part of the historic Hungary over the newly proposed Czecho-Slovak union. We are in a position now to make this reality, and it'll hopefully stop the Slovak independence movement - or even worse, the Czecho-Slovak union movement.;;;;;;;;;;;;;x
stop_accepting_the_slovaks_title;Rejecting the Slovaks;;;;;;;;;;;;;x
stop_accepting_the_slovaks_desc;Without control of Slovakia it's pointless to control;;;;;;;;;;;;;x
hun_cro_settlement_title;Croatian-Hungarian Settlement;;;;;;;;;;;;;x
hun_cro_settlement_desc;Originally signed in 1868, the Croatian-Hungarian Settlement acknowledged the long standing autonomy of Croatia within Hungary. It allowed the formation of a Croatian Parliament and gave seats to Croatian MPs in Budapest, and Fiume was declared a Corpus separatum directly connected to the Lands of the Crown of Saint Stephen and therefore not falling within the domain of Croatian autonomy within the kingdom, but within the domain of the joint Hungarian parliament and government. With this Compromise, we recognise Croatians as full right citizens of our state. ;;;;;;;;;;;;;x
millenium_title;Millenial Celebrations;;;;;;;;;;;;;x
millenium_desc;The years 1895-96 are the 1000th anniversary of the Magyar tribes arriving to the Carpathian basin. On this occasion large celebrations were held throughout the country for the whole year. This was a period of great pride and nationalism. (Legend says, the academic comitee, tasked with the research of the origin of Magyars, were asked to date the arrival for a year later, as preparations for the celebrations were not yet ready in 1895.);;;;;;;;;;;;;x
millenial_celebrations;Millenial Celebrations;;;;;;;;;;;;;x
build_parliament_title;Build The Parliament;;;;;;;;;;;;;x
build_parliament_desc;For the millenial celebrations of 1896 a new and impressive building in neo-gothic style was built to house the Hungarian Parliament, ultimately making Budapest the economic and administrative center of Hungary. The Parliament building is one of the most notable landmarks of (even modern day) Budapest and houses the Parliament ever since.;;;;;;;;;;;;;x
parliament_building;Parliament Building;;;;;;;;;;;;;x
desc_parliament_building;The building where the nation's parliament assembles.;;;;;;;;;;;;;x
parliament_title;The Parlament;;;;;;;;;;;;;x
desc_millenial_celebrations;Millenial Celebrations are well under way;;;;;;;;;;;;;x
greek_sevastopol_title;Greek Crimea;;;;;;;;;;;;;x
greek_sevastopol_desc;Now that we've regained our ancestor's holdings in Crimea, we should invite the Greeks of Russia to come back to their former home.;;;;;;;;;;;;;x
annex_former_AUS_lands_title;Integrating the Autonomous Regions;;;;;;;;;;;;;x
annex_former_AUS_lands_desc;Since Banat and Transylvania joined the German state they have been cut off by the autonomous regions, perhaps we should re-integrate them?;;;;;;;;;;;;;x
release_lombardy_venice_title;Release The Kingdom Of Lombardy-Venetia;;;;;;;;;;;;;x
release_lombardy_venice_desc;The Italians in our empire grow restless, and the Prussians exclude us from Germany because of our empire, if we granted the Italians autonomy they'd be more willing to accept us back into Germany.;;;;;;;;;;;;;x
enslave_albanians;Enslave the Albanians!;;;;;;;;;;;;;x
enslave_albanians_short;why johan :(.;;;;;;;;;;;;;x
enslave_albanians_setup;why johan :(;;;;;;;;;;;;;x
enslave_albanians_desc;why johan :(;;;;;;;;;;;;;x
enslave_albanians_title;Enslave the Albanians!;;;;;;;;;;;;;x
canadian_confederation;The Canadian Confederation;;;;;;;;;;;;;x
canadian_confederation_short;Canada will be confederated!;;;;;;;;;;;;;x
canadian_confederation_setup;The arrayed provinces of the Dominion of Canada have been asking for independence. The movement, headed by Sir John A. Macdonald, may end up providing the British Empire with a steadfast and decentralized ally in North America.;;;;;;;;;;;;;x
canadian_confederation_desc;The arrayed provinces of the Dominion of Canada have been asking for independence. The movement, headed by Sir John A. Macdonald, may end up providing the British Empire with a steadfast and decentralized ally in North America.;;;;;;;;;;;;;x
canadian_confederation_title;The Canadian Confederation;;;;;;;;;;;;;x
australian_independence;The Australian Constitution;;;;;;;;;;;;;x
australian_independence_short;Australia federated into six separate states and gained its independence.;;;;;;;;;;;;;x
australian_independence_setup;The Australian independence movement has finally reached a head, and it's time that the British Empire finally allowed the island continent of Australia to move forward from its previous prison colony history into a new world of democracy.;;;;;;;;;;;;;x
australian_independence_desc;The Australian independence movement has finally reached a head, and it's time that the British Empire finally allowed the island continent of Australia to move forward from its previous prison colony history into a new world of democracy.;;;;;;;;;;;;;x
australian_independence_title;The Australian Constitution;;;;;;;;;;;;;x
kiwi_constitution;The Dominion of New Zealand;;;;;;;;;;;;;x
kiwi_constitution_short;New Zealand has been released!;;;;;;;;;;;;;x
kiwi_constitution_setup;Following the independence of Australia, and the historic ties between Australia and New Zealand, a Kiwi movement has finally materialized, asking for a decentralized independence.;;;;;;;;;;;;;x
kiwi_constitution_desc;Following the independence of Australia, and the historic ties between Australia and New Zealand, a Kiwi movement has finally materialized, asking for a decentralized independence.;;;;;;;;;;;;;x
kiwi_constitution_title;The Dominion of New Zealand;;;;;;;;;;;;;x
balkan_assimilation_program;The Balkan Assimilation Program blank;;;;;;;;;;;;;x
balkan_assimilation_program_short;The Balkan Assimilation Program short;;;;;;;;;;;;;x
balkan_assimilation_program_setup;The Balkan Assimilation Program setup;;;;;;;;;;;;;x
balkan_assimilation_program_desc;The institution of this assimilation program has been discussed by the leaders of our nation before, and now is a perfect time to properly bring people to Turkishness and honor. This will, of course, create unrest throughout our nation and cause the international community to look down upon us.;;;;;;;;;;;;;x
balkan_assimilation_program_title;The Balkan Assimilation Program;;;;;;;;;;;;;x
stop_balkan_assimilation_program;Cease the Balkan Assimilation Program blank;;;;;;;;;;;;;x
stop_balkan_assimilation_program_short;Cease the Balkan Assimilation Program short;;;;;;;;;;;;;x
stop_balkan_assimilation_program_setup;Cease the Balkan Assimilation Program setup;;;;;;;;;;;;;x
stop_balkan_assimilation_program_desc;Opposition to the Balkan Assimilation Program is not limited to those suffering under its machinations. Leaders in our nation have spoken out against it and perhaps it is time to cease the program, perhaps for good. It will cease the associated unrest and cause other nations to look kindly upon us.;;;;;;;;;;;;;x
stop_balkan_assimilation_program_title;Cease the Balkan Assimilation Program;;;;;;;;;;;;;x
stop_balkan_assimilation_program_nontur;Stop the Turk Assimilation Program;;;;;;;;;;;;;x
stop_balkan_assimilation_program_nontur_short;Stop the Turk Assimilation Program;;;;;;;;;;;;;x
stop_balkan_assimilation_program_nontur_setup;Stop the Turk Assimilation Program;;;;;;;;;;;;;x
stop_balkan_assimilation_program_nontur_title;Stop the Turkish Assimilation Program;;;;;;;;;;;;;x
stop_balkan_assimilation_program_nontur_desc;The Turks had the audacity to try to destroy our culture. Although we have changed its purpose to suit our needs, have we not learned from the experience? We should do unto others as we wish to have done to us. We are better than the Turks, surely!;;;;;;;;;;;;;x
refute_manifest_destiny;Refute Manifest Destiny;;;;;;;;;;;;;x
refute_manifest_destiny_short;Refute Manifest Destiny;;;;;;;;;;;;;x
refute_manifest_destiny_setup;Refute Manifest Destiny;;;;;;;;;;;;;x
manifest_destiny_refuted;Manifest Destiny Refuted;;;;;;;;;;;;;x
the_pacific_reclamation;The Pacific Reclamation;;;;;;;;;;;;;x
the_pacific_reclamation_short;The Pacific Reclamation;;;;;;;;;;;;;x
the_pacific_reclamation_setup;The Pacific Reclamation;;;;;;;;;;;;;x
the_pacific_reclamation_desc;Our great standing and power in the world has allowed us to show the USA a little taste of its own medicine. We will claim the Pacific provinces for the glory of our nation.;;;;;;;;;;;;;x
the_pacific_reclamation_title;The Pacific Reclamation;;;;;;;;;;;;;x
pacific_reclamation;The Pacific Reclamation;;;;;;;;;;;;;x
independence_of_norway;The Independence of Norway;;;;;;;;;;;;;x
independence_of_norway_short;The Independence of Norway;;;;;;;;;;;;;x
independence_of_norway_setup;The Independence of Norway;;;;;;;;;;;;;x
independence_of_norway_desc;The Personal Union between Sweden and Norway is on its last legs, and attempts to find common ground between the Swedes and Norwegians is failing rapidly. Releasing Norway seems like the only solution.;;;;;;;;;;;;;x
independence_of_norway_title;The Independence of Norway;;;;;;;;;;;;;x
restart_the_caucasian_war;Restart the Caucasian War;;;;;;;;;;;;;x
restart_the_caucasian_war_short;Restart the Caucasian War;;;;;;;;;;;;;x
restart_the_caucasian_war_setup;Restart the Caucasian War;;;;;;;;;;;;;x
restart_the_caucasian_war_desc;Although Russia put the Caucasian War on hold during their wars with Persia and the Ottoman Empire, now Russia has a chance to save face and ensure its hegemony over the Caucasus. This is not a decision to be taken lightly, as the war has raged in one form or another since 1763.;;;;;;;;;;;;;x
restart_the_caucasian_war_title;Restart the Caucasian War;;;;;;;;;;;;;x
remove_undesireables;Remove Undesireables;;;;;;;;;;;;;x
remove_undesireables_short;Remove Undesireables;;;;;;;;;;;;;x
remove_undesireables_setup;Remove Undesireables;;;;;;;;;;;;;x
remove_undesireables_desc;Our country has been plagued for far too long by people not of our culture. These people are bringing down our economy, causing all our problems, and are the source of all our woes. We should institute a program to remove these people from our glorious country.;;;;;;;;;;;;;x
remove_undesireables_fascist_title;Remove the Undesireables;;;;;;;;;;;;;x
remove_undesireables_fascist;Remove Undesireables;;;;;;;;;;;;;x
remove_undesireables_fascist_short;Remove Undesireables;;;;;;;;;;;;;x
remove_undesireables_fascist_setup;Remove Undesireables;;;;;;;;;;;;;x
remove_undesireables_fascist_desc;Our country has been plagued for far too long by people not of our culture. These people are bringing down our economy, causing all our problems, and are the source of all our woes. We should institute a program to remove these people from our glorious country.;;;;;;;;;;;;;x
remove_undesireables_title;Enact Integration Policy;;;;;;;;;;;;;x
remove_integration_policy;Revoke the Integration Policy;;;;;;;;;;;;;x
remove_integration_policy_short;Revoke the Integration Policy;;;;;;;;;;;;;x
remove_integration_policy_setup;Revoke the Integration Policy;;;;;;;;;;;;;x
remove_integration_policy_desc;Active persecution of minorities within our country has brought us to the brink of instability and drawn the ire of the world. We should revoke these policies.;;;;;;;;;;;;;x
remove_integration_policy_title;Revoke the Integration Policy;;;;;;;;;;;;;x
reinstitute_slavery_USA;Reinstitute Slavery;;;;;;;;;;;;;x
reinstitute_slavery_USA_short;Reinstitute Slavery;;;;;;;;;;;;;x
reinstitute_slavery_USA_setup;Reinstitute Slavery;;;;;;;;;;;;;x
reinstitute_slavery_USA_desc;Lincoln had it all wrong. This nation's woes stem from the freedom of the Negroes, and our recent political movements have proven this to be so. We must reinstitute slavery to provide a better economy for our nation and a better future for our children.;;;;;;;;;;;;;x
reinstitute_slavery_USA_title;Reinstitute Slavery;;;;;;;;;;;;;x
destroy_statue_of_liberty;Destroy the Statue of Liberty;;;;;;;;;;;;;x
destroy_statue_of_liberty_short;Destroy the Statue of Liberty;;;;;;;;;;;;;x
destroy_statue_of_liberty_setup;Destroy the Statue of Liberty;;;;;;;;;;;;;x
destroy_statue_of_liberty_desc;Our people have been drawn to the USA for far too long. Indeed, the USA has created an entire culture around that godforsaken statue of theirs. We must clandestinely attempt to destroy it! With our newfound technology and a little blaming of a random uncivilized nation, we can carry out this operation without too much political damage.;;;;;;;;;;;;;x
destroy_statue_of_liberty_title;Destroy the Statue of Liberty;;;;;;;;;;;;;x
enslave_the_capitalists;Enslave the Capitalists;;;;;;;;;;;;;x
enslave_the_capitalists_short;Enslave the Capitalists;;;;;;;;;;;;;x
enslave_the_capitalists_setup;Enslave the Capitalists;;;;;;;;;;;;;x
enslave_the_capitalists_desc;Our nation has recently undergone a glorious Worker's Revolution! The capitalists and aristocrats are still in our midst, ready to take power from the rightful hands of the workers. We must carry out an operation that will enslave them, bringing them down to a status lower than their most downtrodden workers. A few will resist, but our glorious troops can easily handle a few fat and greedy leeches.;;;;;;;;;;;;;x
enslave_the_capitalists_title;Enslave the Capitalists;;;;;;;;;;;;;x
upca_nation_within;Reform the UPCA;;;;;;;;;;;;;x
upca_nation_within_desc;Although the UPCA failed once, this new union of nations can recreate the glories of the past. We have learned our lessons, and are ready to move onwards!;;;;;;;;;;;;;x
upca_nation_within_title;Re-form the UPCA;;;;;;;;;;;;;x
enslave_the_undesireables;Enslave the Undesireables;;;;;;;;;;;;;x
enslave_the_undesireables_desc;Our country has been plagued for far too long by people not of our culture. They are bringing down the economy, being leeches set upon our glorious nation, and not contributing their share to society. Let us enslave them and put them to work in our mines and fields, and let our true nationals rise above such dirty manual labour. Let the worms know their place!;;;;;;;;;;;;;x
enslave_the_undesireables_title;Enslave the Undesireables;;;;;;;;;;;;;x
upca_nation_without;Unite the UPCA;;;;;;;;;;;;;x
upca_nation_without_desc;The UPCA, once glorious, has fallen into history. Now that we have its former territory under our thumb, perhaps we can reunite it to better manage our holdings in South America.;;;;;;;;;;;;;x
upca_nation_without_title;Reunite the UPCA;;;;;;;;;;;;;x
unite_india_without;Unite India;;;;;;;;;;;;;x
unite_india_without_desc;All of India is now under our control, direct or indirect. We can unite the Indian nation to better control our holdings on the subcontinent, but there is always the possibility of it escaping our grasp.;;;;;;;;;;;;;x
unite_india_without_title;Unite India;;;;;;;;;;;;;x
unite_india_within;Unite India;;;;;;;;;;;;;x
unite_india_within_desc;All of India is now under our control, direct or indirect. We can now unite the Indian subcontinent in order to better gain control and drive off the European oppressors!;;;;;;;;;;;;;x
unite_india_within_title;Unite India;;;;;;;;;;;;;x
italy_unite_without;Unite Italy;;;;;;;;;;;;;x
italy_unite_without_desc;Italy is a broken peninsula that yearns to be united. Although the fragmented situation is better to prevent the Italians from gaining full independence, perhaps we can unite their nation in order to prevent other countries from taking them out of our control.;;;;;;;;;;;;;x
italy_unite_without_title;Unite Italy;;;;;;;;;;;;;x
italy_unite_without_aus_title;Unite Italy;;;;;;;;;;;;;x
italy_unite_without_aus_desc;Italy is a broken peninsula that yearns to be united. Although the fragmented situation is better to prevent the Italians from gaining full independence, perhaps we can unite their nation in order to prevent other countries from taking them out of our control.\n\nßYNOTE: ßRThis decision gives Austria cores on Lombardy and Venice for an extra amount of infamy.ßW;;;;;;;;;;;;;x
italy_unite_without_fra_desc;Italy is a broken peninsula that yearns to be united. Although the fragmented situation is better to prevent the Italians from gaining full independence, perhaps we can unite their nation in order to prevent other countries from taking them out of our control.\n\nßYNOTE: ßRThis decision gives France cores on Savoy for an extra amount of infamy.ßW;;;;;;;;;;;;;x
italy_unite_without_fra_title;Unite Italy;;;;;;;;;;;;;x
unite_greater_arabia;Unite Greater Arabia;;;;;;;;;;;;;x
unite_greater_arabia_desc;The Arabian peninsula is now under our complete control. We can finally unite our nation to avoid being left behind by the world!;;;;;;;;;;;;;x
unite_greater_arabia_title;Unite Greater Arabia;;;;;;;;;;;;;x
unite_greater_arabia_without;Unite Greater Arabia;;;;;;;;;;;;;x
unite_greater_arabia_without_desc;The Arabian peninsula is now under our thumb. We can let the fragmented states carry on, or we can unite the peninsula under a single centralized rule to better exploit its resources.;;;;;;;;;;;;;x
unite_greater_arabia_without_title;Unite Greater Arabia;;;;;;;;;;;;;x
unite_romania_without;Unite Romania;;;;;;;;;;;;;x
unite_romania_without_desc;The territory of the Romanian peoples is now under our control. Perhaps we can unite it in order to block other nations from getting a foothold in this area, but we have to be careful that it does not fall out of our grasp.;;;;;;;;;;;;;x
unite_romania_without_title;Unite Romania;;;;;;;;;;;;;x
unite_yugoslavia_without;Unite Yugoslavia;;;;;;;;;;;;;x
unite_yugoslavia_without_desc;The slavic peoples of the Balkans are obviously yearning to be united. Perhaps we can push them on towards this goal, if just to better control them.;;;;;;;;;;;;;x
unite_yugoslavia_without_title; Unite Yugoslavia;;;;;;;;;;;;;x
transition_to_soviet_union;Become the Soviet Union;;;;;;;;;;;;;x
transition_to_soviet_union_desc;Now that the Worker's Revolution has been carried out in our country, we can throw off the previous fascist and monarchist symbols of our glorious country and take up the symbols of the global revolution! This self-legitimization will, of course, harm our relations with the bourgeoise countries, but they shall feel the sting of the revolution in due time.;;;;;;;;;;;;;x
transition_to_soviet_union_title;Become the Soviet Union;;;;;;;;;;;;;x
transition_to_russia;Become Russia;;;;;;;;;;;;;x
transition_to_russia_desc;The previous dictatorship of those who sought only power under the guise of worker's freedoms has been overthrown! Rejoice and bask in your new freedom, ye peoples of this brave country!;;;;;;;;;;;;;x
transition_to_russia_title;Become Russia;;;;;;;;;;;;;x
lucky_nation;A Lucky Nation;;;;;;;;;x;;;;
desc_lucky_nation;In all that we do, our nation seems to prosper and thrive.;;;;;;;;;x;;;;
treaty_of_tartuSOV_title;Treaty of Tartu;;;;;;;;;;;;x;
treaty_of_tartuSOV_desc;Now that we are free from Russian rule, we should approach the Russian government and discuss the claims to Petsamo and southern Karelia before we end up in a territorial war we cannot hope to win.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;
establish_the_sovnarkomSOV_title;Establish The SOVNARKOM;…tablissement du SOVNARKOM;Richtet die SOVNARKOM ein;;Fundar la SOVNARKOM;;;;;;;;;x
establish_the_sovnarkomSOV_desc;'Soviet Narodnykh Kommissarov', transliterated Russian for 'Council of People's Commissars', was the highest government authority in Soviet Russia, per functions delineated in the 1918 Constitution of the RSFSR. The Sovnarkom was (formally) responsible to the Congress of The Soviets and had, when said Congress was out of session, the power to issue decrees carrying the full force of law.;Le "Soviet Narodnykh Kommissarov" qui signifie littÈralement le "Conseil des commissaires du peuple" fut la plus haute autoritÅEgouvernementale de la Russie soviÈtique dont les fonctions furent dÈfinies dans la constitution de 1918 de la RÈpublique socialiste fÈdÈrative soviÈtique de Russie (RSFSR). Le Sovnarkom Ètait officiellement responsable devant le CongrËs des Soviets de l'administration gÈnÈrale des affaires de l'…tat.;Soviet Narodnykh Kommissarov', Russisch fÅE 'Rat der Volkskommissare', war die hˆchste Regierungsbehˆrde der Sowjetunion und wurde in der Verfassung der RSFSR von 1918 verankert. Die Sovnarkom war (formell) fÅE den sowjetischen Volkskongress verantwortlich und hatte, wenn besagter Kongress nicht tagte, die Macht zur Erlassung von Dekreten mit voller gesetzlicher Macht.;;El 'Soviet Narodnykh Kommissarov', que en ruso significa 'Consejo de Comisarios del Pueblo' era la mayor autoridad de gobierno de la Rusia SoviÈtica, cuyas funciones se delineaban en la constituciÛn de 1918 de la RSFS. El Sovnarkom era responsable (de manera formal) del Congreso de los Diputados del Pueblo y ten˙}, cuando dicho congreso no estaba en sesiÛn, capacidad para emitir decretos con plena validez legal.;;;;;;;;;x
russian_vladivostokSOV_title;The Ruler of the East;Le ma˚ëre de líOrient;Der Herrscher des Ostens;;El seÒor de oriente;;;;;;;;;x
russian_vladivostokSOV_desc;In July of 1860 the port of Vladivostok, or ìRuler of the East,ÅEwas founded near the Korean frontier.  It would become a major Russian trade port and shipbuilding yard. Eventually, it would become the focal point of an intercontinental railroad as well as a major scientific, cultural, and industrial center in its own right. The Czar dreamed that the city would become a hub connecting the west with the east. Perhaps the railroad to Vladivostok will eventually replace the Suez Canal as the bearer of goods and raw materials between the East and the West?;En juillet 1860, le port de Vladivostok, ´†le ma˚ëre de líOrient†ª en Russe, fut fondÅEprËs de la frontiËre corÈenne.  Il deviendra un des principaux ports et chantiers navals de Russie. La ville finira par devenir le point central díun rÈseau ferroviaire intercontinental ainsi quíune grande capitale scientifique, culturelle et industrielle. Le tsar rÍvait díen faire une passerelle entre l'Occident et l'Orient. Peut-Ítre quíun jour, le chemin de fer de Vladivostok remplacera-t-il le canal de Suez dans líacheminement des marchandises et des matiËres premiËres entre líOrient et líOccident†?;Im Juli 1869 wurde der Hafen von Wladiwostok, oder auch "Der Herrscher des Ostens" nahe der koreanischen Grenze eingeweiht. Er entwickelte sich im Laufe der Zeit zu einem wichtigen Handelshafen und Werftstandort fÅE Russland. Schlieﬂlich wurde Wladiwostok zum Mittelpunkt einer interkontinentalen Eisenbahnstrecke sowie zu einem eigenst‰ndigen Wissenschafts-, Kultur- und Industriezentrum. Der Zar tr‰umte davon, dass die Stadt der Hauptverbindungspunkt zwischen Ost und West werden wÅEde. Vielleicht wird Wladiwostok schlieﬂlich sogar den Suezkanal als Haupttransportader von GÅEern und Rohmaterialien zwischen der ˆstlichen und westlichen Hemisph‰re ersetzen?;;En julio de 1860 se fundÅEel puerto de Vladivostok (conocido como ìseÒor de orienteÅE cerca de la frontera con Corea.  Se convertir˙} en un importante n˙cleo comercial ruso y un astillero de primer orden. Con el tiempo, llegar˙} a ser el punto focal de un ferrocarril intercontinental, asÅEcomo un important˙êimo centro cient˙Éico, cultural e industrial por propio derecho. El zar soÒaba que la ciudad se convertir˙} en un eje de conexiÛn entre oriente y occidente. Incluso, quiÈn sabe, el ferrocarril de Vladivostok pod˙} llegar a reemplazar al canal de Suez como principal v˙} de transporte de mercanc˙}s entre el este y el oeste...;;;;;;;;;x
move_capital_to_moscowSOV_title;Return to the Third Rome;Retourner ÅEla TroisiËme Rome;ZurÅEk zum Dritten Rom;;Volver a la tercera Roma;;;;;;;;x;
move_capital_to_moscowSOV_desc;Glorious St Petersburg, the city of Peter the Great, is uncomfortably close to the border. Perhaps it would be prudent to move our capital back to Moscow, the "Pervoprestolnaya", which invading armies might find harder to reach...;La glorieuse Saint-PÈtersbourg, ville de Pierre le Grand, est inconfortablement proche de la frontiËre. Il serait peut-Ítre plus prudent de retransfÈrer notre capitale ÅEMoscou, la ´ Pervoprestolnaya ª, que les armÈes díinvasion auront plus de mal ÅErejoindre...;Das famose St. Petersburg, Stadt Peter des Groﬂen, liegt unangenehm nah an der Grenze. Vielleicht w‰re es sinnvoll, unsere Hauptstadt zurÅEk nach Moskau, der "Perwoprestolnaja", zu verlegen, das fÅE einfallende Armeen schwerer zu erreichen ist ...;;La gloriosa San Petersburgo, ciudad de Pedro el Grande, estÅEincÛmodamente cerca de la frontera. Puede que sea prudente trasladar de nuevo la capital a MoscÅE la "Pervoprestolnaya", mucho m·s dif˙Äil de alcanzar para los ejÈrcitos enemigos...;;;;;;;;x;
greek_genocide_title;The Greek Genocide;;;;;;;;;x;;;;
greek_genocide_desc;After gaining their independence by violently and savagely revolting against our enlightened rule, the foul Greeks that border us have continued to advocate for a greater Greek state, which would necessarily involve taking much of our land, including Istanbul. Such sentiments have resulted in enormous amounts of anti-Greek sentiment within our nation, and many propose solving the Greek problem once and for all by massacring these unloyal subjects. Doing so will give us a poor reputation in the eyes of the world, but will appease many in our empire and delegitimize Greek claims on our lands.;;;;;;;;;x;;;;
annex_egypt_desc;Since we defeated the Mamluks in 1517, the Ottoman Empire has nominally ruled Egypt. Though how much control we have been able to exercise has varied throughout the centuries, our nation's current strength, bolstered by new military technologies that put us leagues ahead of them, will now allow us to rule Egypt more directly than ever before.;;;;;;;;;x;;;;
annex_tunis_title;Annex Tunis;;;;;;;;;x;;;;
