;;;;;;;;;;;;;x
central_asia_refugees;Helping people escape the desert!;;;;;;;;;;;;;x
central_asia_refugees_desc;Don't mind me. I'm here so units stuck in the Karakum and Kyzylkum can go home.;;;;;;;;;;;;;x
dar_al_funun;The Dar al-Funun.;Le Dar al Funun.;Der Dar al Funun.;;;;;;;;;;;x
EVTDESC190309;'Most Persian would rather forego bread than tobacco, and the first thing they would do at the breaking of the fast during the month of Ramadan was to light their pipes.' -European observer\n\nFeeling their livelihood threatened by the Tobacco Regie, the bazaari have come out in protest against it en masse. While previously such protests remained a local affair -as the ulama could be counted on to quell the unrest- the current protests are of a different order. With the help of the anjomans (secret societies) the bazaari have mobilised popular support nationwide, while the ulama seems -following the infamous tobacco fatwa- to have a change of heart and are now coming out against the Regie. In line with the fatwa and ulama, many have now sworn to forgo smoking, including the leading Mujtahed Ashtiyani. Such is the extent of the protests that even the harem ladies forgo smoking, and our servants no longer prepare the water pipe.;;;;;;;;;;;;;x
EVTNAME190310;Our Monopoly in Persia Rescinded;;;;;;;;;;;;;x
EVTDESC190310;'Most Persian would rather forego bread than tobacco, and the first thing they would do at the breaking of the fast during the month of Ramadan was to light their pipes.' -European observer\n\nThe Tobacco Regie has long been unpopular with the Persian peoples, but the Shah has managed to keep control with the help of his clergy. This all changed when a promiment religious scholar issued a fatwa (religious rulling) declaring it forbidden for Muslims to consume tobacco sold by 'infidels' and 'foreigners'. Since then the - previously allied to our interests - clergy have joined in the protest, and many in Persia have stopped smoking. Such is the extend of the protests that even the Shah's harem ladies refuse to smoke, and his servents refuse to prepare his water pipe. Faced with such popular opposition, the Shah saw no other choice but to rescind the Tobacco Regie.;;;;;;;;;;;;;x
EVTNAME190311;The Plot of Amir Kabir;;;;;;;;;;;;;x
EVTDESC190311;Amir Kabir has shown himself to be an administative reformer without equal. Throughout his tenure he passed a wide variety of administrative, cultural, and economic reforms, most immediately a vaccination campaign against smallpox. While his reforms have proven to be valuable for the realm, it is not without its opposition. One of the most thorough reforms has been of the civil service, with salaries reduced and many superfluous offices abolished. This has greatly reduced expenses and strengthened the position of the central government, but it has also upset a large number of nobles who lost their patronage. Together with Tanzimat inspired breaking of the ulama, the reforms have given the central government undisputed authority. But not just of the central authority, but also of Amir Kabir. He is slowly becoming the government himself. Persistance rumours exist that these reforms have been passed to pave the way for Amir Kabir's ascession as Shah...;;;;;;;;;;;;;x
EVTNAME190312;Renovations of the Golestan Palace;;;;;;;;;;;;;x
EVTDESC190312;The Golenstan Palace in Tehran was build during the reign of Tahmasp I of the Safavid dynasty. It was last renovated by during the Zand dynasty, before Tehran was even selected as capital and Golestan became the official seat of government. As such the palace can no longer be considered fit for purpose as our seat of government and desperately needs to be expanded. To the east of the current palace there is an large empty lot which is just asking for the palace to be expanded upon.;;;;;;;;;;;;;x
EVTNAME190313;The Death of Mohammad Shah;;;;;;;;;;;;;x
EVTDESC190313;The Shah has died today at the age of 40. Throughout his life Mohammed had been known to be somewhat sickly, and he finally died from complications arising from his gout in the Mohammadieh Palace. Mohammed was the son of Abbas Mirza and became crown prince upon his father's unexpected passing. Mohammed is succeeded by Naser-Al-Din.;;;;;;;;;;;;;x
EVTNAME190314;Jamal al-Din al-Afghani;;;;;;;;;;;;;x
EVTDESC190314;'How very strange it is that the Moslems study those sciences that are ascribed to Aristotle with the greatest delight, as if Aristotle were one of the Moslems. However, if the discussion relates to Galileo, Newton, and Kepler, they consider them infidels. The father and the mother of science is proof, and proof is neither Aristotle nor Galileo. The truth is there is proof, and those who forbid science and knowledge in the belief that they are safeguarding the Islamic religion are really enemies of that religion.'\nThe famous reformer and political activist Jamal al-Din al-Afghani has decided to offer his services to your court. An outspoken critic of Western Imperialism, he advocates a reformed Islamic faith and pan-Islamic unity as the only way of staving of foreign domination. He argues that this can only be achieved by adopting a rationist mindset and fully embracing modern science. Though his reformist mindset has let to accusations of atheism;;;;;;;;;;;;;x
EVTNAME190315;The Assassination of Naser al-Din;;;;;;;;;;;;;x
EVTDESC190315;The Shah has been assassinated! Shot while visiting and praying at the shrine of Shah-Abdol-Azim. Shot with an old and rusty revolver. Shot by a man called Mirza Reza Kermani. During his public interrogation Mirza Reza revealed that the act was retribution for the ill treatment al-Afghani received at our court, as well as the inept and corrupt rule of the Shah. While most people abhor the murder of the Shah, there is some sympathy for Mirza Reza. For the Shah had long been thought of as selling the country to the infidel with his concessionary politics.\n\nThe Shah is succeeded by Mozaffar ad-Din Shah.;;;;;;;;;;;;;x
EVTNAME190316;The Persian Zoroastrian Amelioration Fund;;;;;;;;;;;;;x
EVTDESC190316;The Zoroastianers follow the ancient monotheistic teachings of the prophet Zoroaster. While in its heyday it was the state religion of the Persian Empire and had millions of followers, over the centuries the numbers dwindled and it the religion was slowely replaced by Islam as the religion of the Persian people. However, there are still those who practise this ancient religion in our empire. Being subject to the jizya as well as harrasment by Muslims, they are subject to both formal and informal persecution.\n\nThe Parsi people -Zoroastrian co-religionists from India- are appalled by the deplorable situation Zoroastrianists find themselves in our empire. To assist them they founded the Persian Zoroastrian Amelioration Fund offering financial support to them. A Parsi embassy lead by Maneckji Limji Hataria has also arrived at court pleading the end of persecution of the Zoroastrianists.;;;;;;;;;;;;;x
EVTNAME190317;Old and Modern Tehran;;;;;;;;;;;;;x
EVTDESC190317;Tehran is undergoing growth and modernisation at a rapid pace. It is quickly becoming a metropolis worthy of our Empire. But with this growth and modernisation comes the need to replace older and outdated buildings, there is not unlimited supply of land of course. Eyes have fallen on the Golenstan Palace for redevelopment. It occupies a large section of the city, and was last renovated during the reigh of Naser-Al-Din Shah. It is old and starting to become dilapilated, not to mention is starting to look dated. Clearing out the palace would allow for the construction of a modern city in its place, or we could maintain it as a testatment to the history of our Empire.;;;;;;;;;;;;;x
EVTNAME190318;The Persian Imperial Bank;;;;;;;;;;;;;x
EVTDESC190318;Currently the economy can only be described as 'medieval.' The only form of currency currently in circulation are silver and gold coins. While -as charging interest is forbidden by Islamic law- the only money lenders are Jewish sarrafs. Who, due to this as well as cultural ties, dominate the money market. Modern financial instruments such as those known in the West are completely absent from the economy. Without access to easy credit and finance there has been little investment in the country and economic development has been stagnant.\nSensing an opportunity to both make money and strengthen Persia, we've been approached by Baron de Reuter who proposes the founding of a modern -Western- financial institution: the $COUNTRY_ADJ$ Imperial Bank. By mobilising the savings of the Persian people capital would become available for the development of the country. In exchange Baron de Reuter ask for exclusive banking rights and mining concessions for all newly discovered mineral deposits.;;;;;;;;;;;;;x
EVTNAME190319;The Great Famine of $YEAR$;;;;;;;;;;;;;x
EVTDESC190319;The past winter the rains have utterly failed, with only the southern and western provinces being blessed with any precipitation at all. Other regions haven't seen a single drop of rain in over two years. This has left the land scorch dry as not even rivers and wells can supply enough water to maintain farming levels. As harvests fail a major famine is developing. Bread is getting scarcer resulting in the price of bread doubling in Tehran, tripling in Isfahan and increasing more than 20 fold in some rural areas. As a result of these high prices those still holding grain have started hoarding their supply in the hopes of fetching a premium. Reports have reached us that one provincial governor banned the import of grain in the hopes of driving up the value of his own stock.\n\nThis all resulted in the common people starving and bread riots being a daily occurance.;;;;;;;;;;;;;x
EVTNAME190320;Salam-e Shah\n[The National Anthem];;;;;;;;;;;;;x
EVTDESC190320;We've commisioned the French composer Alfred Jean Baptiste Lemaire to compose a national anthem for our Empire. The Salam-e Shah (the Royal Salute) will from now on be played at all official ceremonies and state functions.;;;;;;;;;;;;;x
EVTNAME190321;The Mujaddid;;;;;;;;;;;;;x
EVTDESC190321;A new religious fanatic has set up shop in $PROVINCENAME$. Proclaiming himself to be the promised Mujaddid of the age - the renewer which shows up once per century to revive Islam, cleansing it of extraneous elements and restoring it to its pristine purity. This Mirza Ghulam Ahmad fellow mananges to convince may with his deep knowledge of theology, both Christian and Islamic, and orating skills. Apparently he spend a great deal of his youth studying Christian and Islamic texts, while also debating Christian missionaries earlier.;;;;;;;;;;;;;x
EVTNAME190322;The Ahmaddiyya Muslim Jama'at;;;;;;;;;;;;;x
EVTDESC190322;Some time ago a fellow by the name of Mirza Ghulam Ahmad started proclaiming himself the Mujaddid in one of our provinces in India. Not satisfied with his claim of being the devinely inspired reformer of Islam, he has now added to his claim the assertion that he is the Mahdi, the promised Messiah. Apparently, he is quite successful with his claims, as he rapidly gained a following. Even managing to extract a personal pledge of allegiance from 40 followers. With it he has founded his own faith community: The Ahmaddiyya Muslim Jama'at.\nHowever, while he may be gaining followers, not everybody is convinced of claim to be the Mahdi. Many consider him to be a heretic and are demanding that his works be condemned: a fatwa declaring him a kafir, liar and deceiver was signed by over 200 clergymen. While a religious opinion issued by scholars at Mecca and Medina declare Ghulam Ahmad's beliefs blasphemous and tantamount to apostasy.;;;;;;;;;;;;;x
EVTNAME190323;Amir Arsalan-e Namdar\n[The Story of Arsalan];;;;;;;;;;;;;x
EVTDESC190323;Our chief story teller has composed a new story for our entertainment: the Amir Arsalan-e Namdar\n\nArsalan was born after his pregnant mother -queen of Roum- was forced to flee her kingdom. She becomes wedded to an Egyptian merchant and gives birth to her child, Arsalan. The merchant claims the child as his own. Naturally Arsalan learns the truth of his royal origin, and sets out to avenge his father and reclaim his throne. Later he falls in love with Farrok-leqa, who is later killed, revived and carried of by a hand from the clouds. A series of adventures, including being saved from the gallows by an afreet, leads him to another land where he is reunited with Farrok-leqa. And they live happily ever after.\n\nThe story has become a court favourite, with the Shah's daughter transcribing the story herself.;;;;;;;;;;;;;x
EVTNAME190324;A Cup of Tea;;;;;;;;;;;;;x
EVTDESC190324;For a long period of time coffee had been the national drink of our people. With smoking in coffee houses being a national past time. However As most coffee producing regions are located far away, making shipping difficult and expensive, it is a pleasure few can afford. As the the tea producing regions of India and China are nearer to $COUNTRY$, tea has proven tea highly priced -cheaper- alternative to coffee. This has caused a gradual shift away from coffee towards tea over the past the decades, leaving tea the national drink\n\nBut like coffee, tea still has to be imported. To remedy this it has been suggested we start our own tea plantations. The region around Rasht, with its mild weather, plenty of precipitation and good -slightly acidic- soil, seems to be a good contendor. However, as tea is one of the most valuable produces of British India, the British might not take well to us establishing our own tea industry.;;;;;;;;;;;;;x
EVTNAME190325;Berigad-e Qazzaq\n[The Persian Cossacks];;;;;;;;;;;;;x
EVTDESC190325;The Persian army's performance in relation to its Western counterparts has so far proven to be less than satisfactionary. Even the elite Royal Cavalry has dissappointed. Western observers who have observed them have often derisively commented on their preformance, calling them 'untrained and undisciplined'.\nDuring our travels in Europe the Russian Cossacks displayed particular rigor in their skill and ability. It has been suggested we apply for Russian support, and start training our own Caucasian population in the manner of the Russian Cossack.;;;;;;;;;;;;;x
EVTNAME190326;A Promising Officer;;;;;;;;;;;;;x
EVTDESC190326;The Persian Cossacks have proven to be the most effective military unit in our arsenal. As such it has become a proving ground for young and ambitious officers. Originally not a path for political advancement -orginally only Caucasian muhajirs could become officers, often through inheritence-, but with Persians now swelling the ranks the Cossacks have become a recruiting ground for political talent. One particular officer -by the name of Reza Khan- has caught attention. Said to be highly intelligent and extremely charasmatic. He has a keen mind for matters of state and modernising the establishment and, with some support, he could go far in our administration.;;;;;;;;;;;;;x
EVTNAME190327;The Swedish Gendarmerie;;;;;;;;;;;;;x
EVTDESC190327;The Constitutional Revolution has left our central authority fractured and weakend. A power vacuum has emerged in the country side which is leading to distrubances. Without central authority, bandits are left free to roam. Such a burden to commerce have these bandits become that the British are now demanding we either deal with, or accept that they will.\n\nLacking a effective police force to deal with the bandits, it has been suggested we contact a neutral European power for help to establish a highway gendarmerie.;;;;;;;;;;;;;x
EVTNAME190328;The Mashrutiyyat\n[Constitutional Revolution];;;;;;;;;;;;;x
EVTDESC190328;Our dire financial situation and general weakness has left our court to be behold of foreign interests, with the Shah being little more than a figurehead while infidels run the country. Infidels to whom our natural resources are being pandered, and all to pay of debts caused by government extravagance. Instead of investing in and strengthening the country, the whole system seems to only serve to enrich the rich and impoverish the common folk.\nThe repaying of foreign debt has become quite the contentious issue, especially among the bazaari. Protests against high taxes and tariffs are common, but the bastinadoing of a bazaari for a minor offence has made things come to a head. Massive protests have broken out all over Tehran, and the bazaari have -with the full support of the ulama- closed down the bazaar! Their demands: The removal of offending government figures, the implementation of a constitution and the creation of a parliament to oversee the government financing.;;;;;;;;;;;;;x
EVTNAME190329;Unrest in Khorasan;;;;;;;;;;;;;x
EVTDESC190329;The upheaval of the Constitutional Revolution has left central authority fractured and weakend. As a result a power vacuum has now arisen in Khorasan, which is being exploited both by local rulers and robbing bandits. With the province now becoming the domain of more or less independent warlords, the province is rapidly becoming unsafe to travel.;;;;;;;;;;;;;x
EVTNAME190330;Khorasan Rebels!;;;;;;;;;;;;;x
EVTDESC190330;The unrest of Khorasan has reached such a degree that an enterprising colonel by the name of Pessian has decided to take matters into his own hands. With a small group of gendarmes he stormed the residence of the governor, and took control over the region. He has instituted military rule and is quickly establishing his authority over the region.;;;;;;;;;;;;;x
EVTNAME190331;Jangali Rebels in Gilan;;;;;;;;;;;;;x
EVTDESC190331;The ideals of the Constitutional Movement -the complete independence of Persia from foreign influence and democracy- have not died yet. A group of militants have rallied around a man called Mirza Kuchik Khan in Gilan to fight for the movement.\nMirza Kuchik and his band of bandits are now targetting all those opposed to the ideals of the Constitutional Movement: foreigners, bandits, but also the old and priviledged aristrocracy, claiming they all add to the suffering of the common people.\nAs preceived protectors of the common folk, the jungle rebels of Gilan are rapidly gaining popularity.;;;;;;;;;;;;;x
EVTNAME190332;Gilan Rebels!;;;;;;;;;;;;;x
EVTDESC190332;The Jangali Rebels are revolutionaries adhering to the ideals of the Constitutional Movement: A Persia free of foreign influence and ruled by the Shah by accountable to the people. Over the past few years they launched an insurgency in the forests around the Caspian Sea, attacking bandits, foreign agents, as well the old landed aristrocracy who proved unwilling of letting go of their priveledge.\nThe rebels have always been fiercely nationalistic, hoping to achieve their goals on a national level. However, by now the revolutionaries feel that the real problem in Persia is the domination of government by the nobility and aristocracy. They only way to reform Persia in its totality is to get rid of the ruling classes completely. Having lost faith that this can be achieved on a national level, the rebels have started implementing it on a regional level.;;;;;;;;;;;;;x
EVTNAME190333;The Persian Socialist Soviet Republic;;;;;;;;;;;;;x
EVTDESC190333;The Jangali Rebels are revolutionaries adhering to the ideals of the Constitutional Movement: A Persia free of foreign influence and ruled by the Shah by accountable to the people. Over the past few years they launched an insurgency in the forests around the Caspian Sea, attacking bandits, foreign agents, as well the old landed aristrocracy who proved unwilling of letting go of their priveledge.\nThe rebels have always been fiercely nationalistic, hoping to achieve their goals on a national level. However, by now the revolutionaries feel that the real problem in Persia is the domination of government by the nobility and aristocracy. They only way to reform Persia in its totality is to get rid of the upper classes completely. They have now reached out to other communists world wide to support their nascent class struggle.;;;;;;;;;;;;;x
EVTNAME190334;The Simko Shikak Revolt;;;;;;;;;;;;;x
EVTDESC190334;The muder of the Assyrian Nestorian patriarch Mar Shamon have left the Kurdish borderlands reeling under communal violence. Christians taking revenge on the Muslims population, Muslims seeking revenge on the Christian population in return. Christians of different sects killing eachother. The terror by which the region is ruled is unimaginable.\nIn the end only one man was left standing: the Kurdish Muslim Simko Shikak -the man who was also behind the assassination of Mar Shamon. He has subsequently rallied the Kurdish tribesmen behind his cause. It is likely that he will seek to establish an independent Kurdish homeland.;;;;;;;;;;;;;x
EVTNAME190335;Arab Unrest in Khuzestan;;;;;;;;;;;;;x
