schomburgk_line_title;The Schomburgk Line;;;;;;;;;;;;;
brest_litovsk_fort_desc;It is time for our government to comission a fortress in the key strategic city of Brest-Litovsk, covering an intersection of the Bug and Mukhavets rivers. It is to be constructed in a star shape, with barracks lining its banks on three sides and a citadel on an island in the center. The fort will accommodate 12,000 soldiers in total.;;;;;;;;;;;;; 
half_research_startup;1830 Research Balancing;;;;;;;;;;;;;
DEATHSUCRE;Antonio José de Sucre y Alcalá or the 'Gran Mariscal de Ayacucho' has been found dead on a a trail leading South. Sucre, a brilliant general and tactician who led the pro-independence forces to victory against the Spanish royalists in the decisive battles of Pichincha and Ayacucho, was perhaps Simón Bolívar's greatest ally. After vanquishing the Spaniards, he served as president of Bolivia until a strong anti-Bolívarian movement led to his resignation. In face of the imminent collapse of Gran Colombia, he headed South to discourage the secession of Ecuador. Seeing the danger that a beloved hero of the war of independence poses to their plot, the pro-Ecuadorian elements under Juan José Flores hired an assassin to murder Sucre, preventing his interference.;;;;;;;;;;;;;
osterreichische_lloyd_title;Österreichischer Lloyd;;;;;;;;;;;;;
osterreichische_lloyd_desc;Several sea transport insurance companies, banking houses and numerous individual shareholders, among them the Austrian politician Karl Ludwig von Bruck, have come together to form a shipping company. Based in Trieste, it would begin constructing new steamers to transports passengers and goods and bring news from overseas. With this much backing, the company would be sure to become the prime shipping company in the Austrian Empire.;;;;;;;;;;;;;
EVTDESC16051839;The Palace of Westminster has burned down today in a sudden conflagration. According to the investigation on the ground, a bundle of tally sticks used for accounting by the Exchequer was disposed of in two underfloor stoves under the House Floors, which caused a chimney fire. The fire then seeped through the building and caused the walls to catch fire as well. Before it was put out, flames engulfed all of Westminster Palace and left intact only five of its buildings. Reconstruction will have to begin immediately.;;;;;;;;;;;;;
EVTDESC160518411;After the loss of Central America by the Mexican Empire, secessionist movements both by Hispanic and indigenous nationalists have plagued our fledgling state of $COUNTRY$. Anastasio Aquino, a leader of the Nahualco indigenous people, has staged a rebellion in the department of La Paz after his brother was arrested by the owner of the hacienda the two worked on. He soon amassed an army of over 2,000 men and attacked towns across La Paz. His army will require the mobilization of our troops the way all-out war would.;;;;;;;;;;;;;
antoine_clot_title;Establish a School of Medicine for Women;;;;;;;;;;;;;
antoine_clot_desc;A French doctor named Antoine Clot has held an esteemed medical practice in Egypt for 5 years as Surgeon-in-Chief of the Armies. Before he arrived from France, our country did not yet have a medical care system: since then he has worked as director of the first medical school in Egypt, Kasr al-Aini Medical School, and even has been made chief surgeon for Muhammad Ali Pasha. Clot is a force of Egypt's modernization. With this modernization comes a need to bring women into the fold. We should grant Clot's request to open a women's medical school.;;;;;;;;;;;;;
PRIESTJOVICA;The always separatist-minded Serbs have launched a rebellion against us in Bosnia, led by a radical Orthodox priest named Jovica Ilic. It was sparked when Ilic petitioned former Prince Milos Obrenovic for support for an armed revolt, then met with fellow priests who each agreed to help organize participants. Violence is currently concentrated in Tuzla and around Banja Luka. With Prince Milos' support, this rebellion can prove dangerous down the road. Should we allow the Serbs and Croats to ever get any silly ideas again, after Serbia's short-lived independence from 1804 to 1817?;;;;;;;;;;;;;
EVTDESC16051840;In the rural town of Uster, Zürich canton, locals gathered today in a peaceful assembly to protest the overrepresentation of the cantonal capital compared to Zürich's rural parts. They argue that Uster's livelihood has been neglected, causing its locals to languish in poverty and remain largely uneducated. They also call for a new constitution to overhaul the governance of all Switzerland's cantons. For citizens to call for the constitution's repeal or amendment is unheard of: they are legally prohibited from petitioning the government to make such changes. Neverless, the liberal ideas left behind by Napoleon's rule clearly are still showing their influence. This will definitely not be the last call by our people for fair representation.;;;;;;;;;;;;; 
EVTDESC16051841;Never before have our people made such strong demands against our government while also not shedding a drop of blood. Today, discontent locals in the Freiamt region of Aargau canton led an uprising in protest of reduced rural representation in the constitution. They demonstrated their resolve by organizing themselves into militias. Despite clashes across Freiamt where about 6,000 total militia members confronted Swiss forces--with both sides prepared to engage--not a single shot was fired. Miraculously, the government agreed to a revision to the constitution and negotiated an end to the uprising. This marks an indelible end to the illiberal, undemocratic government before Napoleon's time, where the government could get away with unequal or unfair representation of the people. Aargau was ruled particularly heavy-handedly by governor Johannes Herzog, who has been claimed to want to run a duchy instead of a canton. Well, his tyranny ends now.;;;;;;;;;;;;; 
EVTDESC16051843;The tyrannical general Resid Mehmed has at long last acted on the Ottomans' behalf to tighten their choke hold on the Albanian people. The general invited 500 Albanian beys to attend a meeting where they would be rewarded for their loyalty to their government. When they arrived, the beys were greeted by a military procession--but the next thing they knew, upon a hand signal from Mehmed, the Turkish soldiers opened fire on the beys and killed them all. \n\nThe Ottomans have removed the one element in the government we could count on to stop our full annexation. Lest we let our dream of an independent Albania die out, we must rally our people and declare a war for our liberation against the Ottomans--right now. Our surviving political leaders have already organized soldiers to do so.;;;;;;;;;;;;; 
EVTDESC16051844;General Resid Mehmed has taken rash action to tighten our grip on the administration in Albania by committing a massacre against Albanian beys, traditional chieftains. About 500 of them were invited to a meeting where they were told they were to be rewarded for their loyalty to the government at. They attended, and after their arrival they were greeted by a ceremonial solute parade of soldiers, which was in fact an ambush. Upon a sign from Resid Mehmed, they fired upon the beys, slaughtering them all. This massacre comes as a response to the behavior of the Pashaliks of Yanina and Shkodra, who had ambitions to finally create an independent Albania. But the Albanian people will not stand for this--they have already taken up arms to challenge our forces head-on.;;;;;;;;;;;;;
bavarian_ludwig_railway_title;The Bavarian Ludwig Railway;;;;;;;;;;;;;
bavarian_ludwig_railway_desc;Railways are the future of transportation. With their recent invention in Britain promising speedy commutes between cities, it is not hard to imagine that Germany would benefit greatly from building their own. The Royal Privileged Ludwig Railway Company may obtain a charter for building a railway in Bavaria right now--also the first in all of Germany.;;;;;;;;;;;;;
GREATMOONHOAX;A series of articles anonymously published in New York newspaper The Sun are causing a stir. They claim there exists not only life but an entire civilization on Earth's moon, with no one having previously observed them. It features fantastical illustrations of the moon's geography and creatures such as a man with bat wings, which the articles claim are common inhabitants on the moon. These claims are clearly false, but they nevertheless have proven beneficial for The Sun's circulation, allowing the paper to claim a new height of success. The articles' author, meanwhile, has yet to be revealed.;;;;;;;;;;;;;
FIRSTCANUTREVOLT;Lyon, a city dominated by silk-based manufacturing, has descended into chaos in the wake of riots by silk workers, who are known in French as canuts. The workers, reacting to a drop in wages, are demanding a minimum price to be imposed on silk products and seized weapons from the national guard to enforce this demand. They soon engaged the national guard and the military in battle, leaving Lyon entirely in their hands. However, the government was able to retake the city without further bloodshed and without conceding to the workers' demands.;;;;;;;;;;;;;
france_bullies_algeria_title;The Conquest of Algiers;;;;;;;;;;;;;
france_bullies_algeria_desc;Tension between France and the Deylik of Algiers, an autonomous part of the Ottoman Empire, has escalated due to Algerian pirates raiding European ships. With these Barbary Pirates being a major thorn in our backside, it's about time we show them their place and conquer Algiers for ourselves.;;;;;;;;;;;;;
CONCEPCIONEARTHQUAKE;A devastating earthquake has hit Concepción and nearby Talcahuano today at 11:30 AM. The quake combined with a resulting tsunami have left Concepción destroyed, with most buildings in ruins. Miraculously, though, casualties have remained low, with only 50 people reported dead. The lack of deaths is attributable to how the quake was slow to intensify and happened at about high noon, allowing locals to get to safety in time. Charles Darwin happened to be in Concepción as the earthquake struck, on a stop for the second voyage of the HMS Beagle. He would describe the quake as such: "I happened to be on shore, and was lying down in the wood to rest myself. It came on suddenly, and lasted two minutes, but the time appeared much longer. The rocking of the ground was very sensible . . . The people rushed out of doors in the greatest alarm. It is these accompaniments that create that perfect horror of earthquakes, experienced by all who have thus seen, as well as felt, their effects.";;;;;;;;;;;;;
PHILIPE1ASE1;An assassination attempt was made on King Louis-Philippe today at the hands of Republican terrorists. During a royal procession held near the Place de la République in Paris, conspirators Giuseppe Marco Fieschi, Theodore Pepin, and Philippe Morey discharged a homemade volley gun with 25 barrels at the King and his soldiers. The barrage killed 18 people but only minorly wounded Louis-Philippe, and Fieschi was quickly captured. \n\nIt has since then been discovered that four barrels of the volley gun did not fire due to the components' failure. Surely more would have died, including the King, had the weapon worked as intended. Fieschi has been executed, while Pepin and Morey are imprisoned and await their own deaths by guillotine.;;;;;;;;;;;;;
ZAKHOISSORAN;We were established in 1399 and subjugated by the Turks' troops in 1554. We stayed their peacable vassal for several centuries until Mir Mohammed proclaimed himself "Emir Mansur" --an independent ruler. We have since then expanded our army and begun waging war on neighboring principalities, hoping to become the dominant Kurdish tribe. But now, we have gone a bridge too far for the Ottomans--figuratively and literally--crossing the ancient Delal Bridge to conquer Zaxho, a part of the Emirate of Bohtan, which is a Turk vassal. This can only end badly. . .;;;;;;;;;;;;;
ZAKHOISBOHTAN;The Emirate of Soran was established in 1399 and subjugated by our troops in 1554. It stayed our peacable vassal for several centuries until the ambitious Mir Mohammed proclaimed himself "Emir Mansur" --an independent ruler. He has since then expanded his army and begun waging war on neighboring principalities, hoping for Soran to become the dominant Kurdish tribe. But now, he has gone a bridge too far--figuratively and literally--crossing the ancient Delal Bridge to conquer Zaxho, a part of our vassal the Emirate of Bohtan. Something must be done to stop Soran's expansion.;;;;;;;;;;;;;
ZAKHOISABATTLEFIELD;We were established in 1399 and subjugated by the Turks' troops in 1554. We stayed their peacable vassal for several centuries until Mir Mohammed proclaimed himself "Emir Mansur"--an independent ruler. We have since then expanded our army and begun waging war on neighboring principalities, hoping to become the dominant Kurdish tribe. But two years ago, we went a bridge too far for them--figuratively and literally--crossing the ancient Delal Bridge to conquer Zaxho, a part of the Emirate of Bohtan, which is a Turk vassal. Now the Ottomans are coming for revenge.;;;;;;;;;;;;;
soran_je_ottoman_title;Ottoman Subjugation of Soran;;;;;;;;;;;;;
soran_je_ottoman_desc;While the Emirate of Soran has been driven back, the Emir Mir Mohammad still poses a threat to the region's stability. Letting his rule continue despite his rebellious actions may inspire other Kurdish chiefs to do the same. While the last expedition's forces retook Soran's conquests, they could not advance toward Mohammed himself due to bad weather. This second attack is sure to put an end to the dangerous Emir once and for all.;;;;;;;;;;;;;
TUZCUOGLUREVOLTS;A rebellion has risen within the Sanjak of Lazistan, resisting the revocation of autonomous rule under the derebeys and the transfer of administration to Turkish-appointed governors. This comes as a result of a blood feud between the Hazinedaroglu and Tuzcuoglu families, both of whom have vied for control of Lazistan as derebeys. Hazinedaroglu had used his authority to levy large taxes on his subjects, which contributed to food scarcity in 1829 and 1830. Families then began to stop paying taxes and rebel, with Tuzcuoglu as their leader. We cannot allow this wayward derebey to abuse his power by taking funds away from our government. We must put an end to the rabble.;;;;;;;;;;;;;
